trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
4.90,-73.980781555175781,40.729911804199219,-73.944473266601563,40.716678619384766,19.3
4.75,-73.99346923828125,40.718990325927734,-73.962242126464844,40.657333374023437,17.3
1.20,-73.979423522949219,40.744613647460938,-73.992034912109375,40.753944396972656,10.3
6.00,-73.947151184082031,40.791046142578125,-73.920768737792969,40.865577697753906,19.3
3.21,-73.998344421386719,40.723896026611328,-73.995849609375,40.688400268554688,12.8
2.43,-73.969329833984375,40.763538360595703,-73.995689392089844,40.744251251220703,17.29
3.70,-74.004302978515625,40.742240905761719,-74.007362365722656,40.706935882568359,18.35
2.20,-73.991996765136719,40.718578338623047,-74.005134582519531,40.739944458007813,13.8
1.80,-73.989166259765625,40.726589202880859,-74.009483337402344,40.715072631835938,10.3
3.09,-73.999069213867188,40.720172882080078,-73.973388671875,40.756561279296875,15.8
2.40,-73.995597839355469,40.744239807128906,-73.985458374023438,40.768711090087891,15.35
1.20,-74.008064270019531,40.742069244384766,-74.002288818359375,40.742164611816406,13.8
1.50,-74.002677917480469,40.730636596679688,-73.980422973632813,40.726211547851563,14.65
.70,-73.894126892089844,40.636573791503906,-73.892501831054687,40.634834289550781,12.3
3.30,-73.975677490234375,40.749099731445313,-73.973648071289063,40.78369140625,15.96
2.94,-73.949691772460938,40.784618377685547,-73.971031188964844,40.751018524169922,13.3
5.23,-73.981849670410156,40.716880798339844,-73.969329833984375,40.769378662109375,18.8
1.30,-73.96588134765625,40.688564300537109,-73.962692260742187,40.671928405761719,10.55
1.10,-73.974342346191406,40.756660461425781,-73.981483459472656,40.753715515136719,12.8
3.60,-73.9969482421875,40.720500946044922,-73.958183288574219,40.721790313720703,17.76
1.20,-73.976020812988281,40.744560241699219,-73.96649169921875,40.753662109375,10.1
2.20,-73.969871520996094,40.768508911132813,-73.949348449707031,40.787765502929688,10.3
4.30,-73.966178894042969,40.762222290039063,-73.897758483886719,40.743141174316406,16.8
1.30,-74.004379272460937,40.742252349853516,-73.984222412109375,40.738197326660156,10.8
2.50,-73.995750427246094,40.744091033935547,-74.009750366210937,40.712760925292969,11.8
1.53,-73.971000671386719,40.797641754150391,-73.953697204589844,40.785129547119141,11.16
1.10,-73.984153747558594,40.764858245849609,-73.97802734375,40.762935638427734,12.3
2.56,-73.979652404785156,40.776119232177734,-73.964683532714844,40.806755065917969,14.16
1.28,-73.984420776367188,40.767238616943359,-73.978599548339844,40.754261016845703,12.8
3.18,-74.010993957519531,40.708873748779297,-73.988052368164063,40.749320983886719,18.3
3.20,-74.00213623046875,40.760639190673828,-73.972892761230469,40.743450164794922,18.95
2.70,-73.994972229003906,40.760234832763672,-74.00152587890625,40.735855102539063,18.55
2.51,-73.932708740234375,40.752861022949219,-73.963615417480469,40.757640838623047,10.8
1.24,-73.981689453125,40.768390655517578,-73.979751586914063,40.755538940429688,15.8
1.40,-73.977943420410156,40.783676147460938,-73.955589294433594,40.773441314697266,10.75
1.89,-73.992568969726563,40.739616394042969,-73.995315551757812,40.721817016601563,10.3
2.15,-73.977760314941406,40.752281188964844,-73.956825256347656,40.768070220947266,17.16
2.50,-73.994255065917969,40.73199462890625,-73.9786376953125,40.751388549804688,15.8
1.89,-73.985160827636719,40.744529724121094,-73.965461730957031,40.762851715087891,10.8
2.34,-73.934318542480469,40.751483917236328,-73.972511291503906,40.764915466308594,10.8
2.00,-73.927742004394531,40.697872161865234,-73.961212158203125,40.698276519775391,13.5
1.80,-73.954742431640625,40.765506744384766,-73.981918334960938,40.766231536865234,11.8
5.10,-73.964698791503906,40.796798706054688,-74.002204895019531,40.749237060546875,18.3
1.80,-73.970108032226563,40.759799957275391,-73.989356994628906,40.742988586425781,12.8
2.25,-74.001899719238281,40.739406585693359,-73.974868774414063,40.744388580322266,14.16
1.67,-73.948280334472656,40.782630920410156,-73.938461303710938,40.792289733886719,11.16
1.90,-73.959747314453125,40.801292419433594,-73.950645446777344,40.822933197021484,10.3
2.94,-73.979400634765625,40.739768981933594,-73.999549865722656,40.742519378662109,16.3
5.00,-73.995040893554687,40.760448455810547,-73.938812255859375,40.799385070800781,18.8
3.86,-73.976837158203125,40.764591217041016,-73.9541015625,40.804759979248047,17.16
